transaction_id,date,num_of_items,order_list,employee,total
230101000,230101,6,"{104016,104032,104013,101014,104005,106009}",Vector,39.05
230101001,230101,9,"{105018,105017,103001,104001,103001,102012,201022,101015,201012}",Zimbabwe,27.75
230101002,230101,6,"{103001,104002,105011,103001,104038,104039}",Cecile,27.5
230101003,230101,7,"{102006,104037,104038,104030,104019,102013,103001}",Zimbabwe,25.1
230101004,230101,9,"{201008,106005,102010,104045,201009,105030,104001,201019,104004}",Natalie,29.1
230101005,230101,4,"{103001,102009,103001,105030}",Felix,17.45
230101006,230101,6,"{201008,103001,102018,101008,103001,103001}",Gabe,22.65
230101007,230101,5,"{201007,105013,201004,104040,201017}",Rebecca,15.55
230101008,230101,3,"{105023,106008,105014}",Stacy,15.25
230101009,230101,1,"{103001}",Natalie,3.95
230101010,230101,4,"{101006,201016,102015,106005}",Natalie,11.45
230101011,230101,4,"{201005,101018,104001,104031}",Bethany,9.85
230101012,230101,4,"{103001,104033,105020,105005}",Emily,23.2
230101013,230101,5,"{105005,105012,104017,103001,105003}",Felix,25.05
230101014,230101,1,"{101011}",Kelly,4.45
230101015,230101,3,"{103001,201010,104024}",Gabe,14.55
230101016,230101,1,"{105021}",Precilla,5.95
230101017,230101,9,"{103001,201016,103001,106006,104034,102009,201014,104010,102017}",Zimbabwe,28.75
230101018,230101,3,"{105025,201017,101006}",Tatiana,12.65
230101019,230101,8,"{104007,103001,104043,104044,201021,104025,103001,103001}",Lily,30.5
230101020,230101,2,"{105022,104018}",Oppenheimer,8.4
230101021,230101,6,"{102004,102009,101020,105015,102013,201012}",Cecile,15.05
230101022,230101,9,"{104016,105007,104001,104024,101005,105020,104041,103001,105009}",Lily,40.95
230101023,230101,8,"{104044,103001,104017,105028,105013,101009,103001,104019}",Vector,37.3
230101024,230101,3,"{201011,103001,104030}",Tatiana,14.05
230101025,230101,4,"{201012,104004,201016,104017}",Quavo,12.4
230101026,230101,5,"{101015,104042,102017,104029,103001}",Helen,14.15
230101027,230101,4,"{103001,105024,103001,105011}",Lily,18.7
230101028,230101,5,"{103001,105002,104023,105009,101024}",Indigo,25.65
230101029,230101,8,"{103001,103001,104015,104039,103001,101017,103001,104012}",Vector,34.05
230101030,230101,9,"{104010,105026,201019,105029,103001,105026,104007,101006,101013}",Kelly,36.3
230101031,230101,3,"{106006,104030,103001}",Wylie,13.55
230101032,230101,8,"{105019,103001,104029,102016,201004,105009,201013,201022}",Stacy,27.45
230101033,230101,8,"{103001,201007,201022,201010,103001,102015,101016,102017}",Oppenheimer,21.55
230101034,230101,4,"{105002,101022,103001,104034}",Lily,19.8
230101035,230101,1,"{103001}",Precilla,5.65
230101036,230101,7,"{103001,103001,102018,105015,103001,104002,105028}",Xerxes,28.8
230101037,230101,1,"{106001}",Rebecca,4.95
230101038,230101,8,"{201018,106001,105015,102014,201001,105005,104029,104027}",Xerxes,33.25
230101039,230101,4,"{105025,101005,105005,103001}",Madison,21.0
230101040,230101,8,"{104037,103001,104017,103001,102002,103001,102014,102006}",Stacy,23.8
230101041,230101,5,"{102010,105019,105023,102017,104016}",Xerxes,14.65
230101042,230101,6,"{105024,103001,103001,201001,104038,101010}",Kelly,26.0
230101043,230101,2,"{104043,201003}",Emily,5.2
230101044,230101,6,"{101001,104019,201005,105005,104019,201006}",Vector,24.1
230101045,230101,2,"{106004,101010}",Wylie,6.9
230101046,230101,8,"{105030,101017,103001,101022,103001,201009,105002,105007}",Xerxes,35.75
230101047,230101,3,"{104030,103001,105018}",Tatiana,15.35
230101048,230101,7,"{105008,104039,101009,105018,103001,105028,104039}",Emily,36.85
230101049,230101,1,"{106004}",Cecile,2.95
230101050,230101,5,"{105008,103001,105016,104019,101015}",Wylie,20.8
230101051,230101,3,"{105024,106005,201005}",Lily,11.45
230101052,230101,5,"{102001,105024,103001,201003,102017}",Stacy,15.15
230101053,230101,2,"{105017,102007}",Tatiana,5.45
230101054,230101,6,"{102004,201012,104029,104026,106010,103001}",Quavo,21.85
230101055,230101,3,"{105021,105006,103001}",Emily,15.45
230101056,230101,6,"{105027,104010,104028,103001,103001,106002}",Precilla,29.6
230101057,230101,8,"{101012,101021,103001,104012,104041,106010,105009,102007}",Oppenheimer,31.95
230101058,230101,2,"{102004,104010}",Felix,2.95
230101059,230101,7,"{103001,201020,103001,101023,102009,201014,103001}",Oppenheimer,28.6
230101060,230101,8,"{105010,104012,101001,103001,103001,104028,103001,106006}",Lily,34.2
230101061,230101,9,"{101021,101017,103001,104029,104026,105010,104043,105019,104020}",Emily,37.4
230101062,230101,4,"{105026,201010,201009,101009}",Wylie,17.6
230101063,230101,9,"{103001,103001,104014,103001,102014,104008,103001,105027,104032}",Precilla,40.7
230101064,230101,1,"{103001}",Amy,4.65
230101065,230101,1,"{201010}",Natalie,3.25
230101066,230101,1,"{101015}",Vector,0.0
230101067,230101,4,"{104017,105017,103001,104011}",Vector,17.2
230101068,230101,6,"{104014,105015,201007,101017,103001,106011}",Emily,22.25
230101069,230101,6,"{201016,103001,105003,201002,101005,103001}",Cecile,22.9
230101070,230101,9,"{201011,105001,102002,201012,201004,103001,101018,104010,102005}",Vector,20.8
230101071,230101,2,"{103001,101022}",Xerxes,8.1
230101072,230101,5,"{102012,104018,101008,104035,103001}",Emily,19.0
230101073,230101,9,"{106012,104021,104025,106002,201002,103001,104034,103001,103001}",Wylie,38.05
230101074,230101,7,"{105012,101007,105001,101010,103001,104018,103001}",Lily,28.05
230101075,230101,5,"{201014,101021,103001,106007,102001}",Vector,18.5
230101076,230101,5,"{103001,101007,104045,105003,101004}",Amy,21.85
230101077,230101,6,"{101020,105011,104027,103001,103001,102006}",Jessica,25.7
230101078,230101,2,"{105023,104039}",Amy,10.6
230101079,230101,4,"{102013,201012,106010,201018}",Lily,10.45
230101080,230101,5,"{106005,201009,106009,105014,105022}",Stacy,22.05
230101081,230101,1,"{201016}",Jessica,2.95
230101082,230101,1,"{103001}",Quavo,3.95
230101083,230101,1,"{104037}",Xerxes,3.95
230101084,230101,2,"{101001,106005}",Gabe,5.9
